微生物学::05 ウイルス	流感病毒	インフルエンザウイルス		ウイルス,中日対応,呼吸器	kd00ae9a5
微生物学::05 ウイルス	インフルエンザウイルスが起こす主な疾患は？	インフルエンザ		ウイルス,疾患,呼吸器	kd29c2604
微生物学::05 ウイルス	RS病毒	RSウイルス		ウイルス,中日対応,呼吸器,小児	kf22308dd
微生物学::05 ウイルス	RSウイルスが起こす主な疾患は？	細気管支炎（さいきかんしえん）		ウイルス,疾患,呼吸器,小児	keb3c1e7d
微生物学::05 ウイルス	腺病毒	アデノウイルス		ウイルス,中日対応,呼吸器	k08f9ad1b
微生物学::05 ウイルス	アデノウイルスが起こす主な疾患は？	咽頭結膜熱（いんとうけつまくねつ）		ウイルス,疾患,呼吸器	kfa6d255d
微生物学::05 ウイルス	Adenovirus の日本語名は？	アデノウイルス		ウイルス,英名,呼吸器	kf968ab3b
微生物学::05 ウイルス	乙肝病毒	B型肝炎ウイルス		ウイルス,中日対応,肝炎	k2d86b254
微生物学::05 ウイルス	B型肝炎ウイルスが起こす主な疾患は？	B型肝炎		ウイルス,疾患,肝炎	k93a7ead7
微生物学::05 ウイルス	丙肝病毒	C型肝炎ウイルス		ウイルス,中日対応,肝炎	kf96edf89
微生物学::05 ウイルス	C型肝炎ウイルスが起こす主な疾患は？	C型肝炎		ウイルス,疾患,肝炎	k02437d0d
微生物学::05 ウイルス	单纯疱疹病毒1型	単純ヘルペス1型		ウイルス,中日対応,ヘルペス	k25860940
微生物学::05 ウイルス	単純ヘルペス1型が起こす主な疾患は？	口唇ヘルペス		ウイルス,疾患,ヘルペス	kd836db7b
微生物学::05 ウイルス	单纯疱疹病毒2型	単純ヘルペス2型		ウイルス,中日対応,ヘルペス	k2c3f77ab
微生物学::05 ウイルス	単純ヘルペス2型が起こす主な疾患は？	性器ヘルペス（性器疱疹）		ウイルス,疾患,ヘルペス	k404057fa
微生物学::05 ウイルス	水痘带状疱疹病毒	水痘・帯状疱疹ウイルス		ウイルス,中日対応,ヘルペス	k05fed3a3
微生物学::05 ウイルス	水痘・帯状疱疹ウイルスが起こす主な疾患は？	水痘・帯状疱疹		ウイルス,疾患,ヘルペス	k7de204a3
微生物学::05 ウイルス	VZV の日本語名は？	水痘・帯状疱疹ウイルス		ウイルス,英名,ヘルペス	kfb13ab0e
微生物学::05 ウイルス	EB病毒	EBウイルス		ウイルス,中日対応,ヘルペス	k9a16328f
微生物学::05 ウイルス	EBウイルスが起こす主な疾患は？	伝染性単核球症		ウイルス,疾患,ヘルペス	kb980e15f
微生物学::05 ウイルス	巨细胞病毒	サイトメガロウイルス		ウイルス,中日対応,ヘルペス,先天感染	k70c66a74
微生物学::05 ウイルス	サイトメガロウイルスが起こす主な疾患は？	先天性CMV感染症、網膜炎・肺炎・脳炎		ウイルス,疾患,ヘルペス,先天感染	k2a962a2d
微生物学::05 ウイルス	CMV の日本語名は？	サイトメガロウイルス		ウイルス,英名,ヘルペス,先天感染	k9992bf0e
微生物学::05 ウイルス	麻疹病毒	麻疹ウイルス		ウイルス,中日対応,発疹,ワクチン	kec35273c
微生物学::05 ウイルス	麻疹ウイルスが起こす主な疾患は？	麻疹		ウイルス,疾患,発疹,ワクチン	kc5ad45fc
微生物学::05 ウイルス	Measles virus の日本語名は？	麻疹ウイルス		ウイルス,英名,発疹,ワクチン	k88366b2c
微生物学::05 ウイルス	风疹病毒	風疹ウイルス		ウイルス,中日対応,発疹,ワクチン	k88fa57fd
微生物学::05 ウイルス	風疹ウイルスが起こす主な疾患は？	風疹		ウイルス,疾患,発疹,ワクチン	k5bc6b8e0
微生物学::05 ウイルス	Rubella virus の日本語名は？	風疹ウイルス		ウイルス,英名,発疹,ワクチン	k9eb0f0d0
微生物学::05 ウイルス	腮腺炎病毒	ムンプスウイルス		ウイルス,中日対応,ワクチン	k277fd7c8
微生物学::05 ウイルス	ムンプスウイルスが起こす主な疾患は？	流行性耳下腺炎（ムンプス）		ウイルス,疾患,ワクチン	k70afbad6
微生物学::05 ウイルス	Mumps virus の日本語名は？	ムンプスウイルス		ウイルス,英名,ワクチン	kf2c7dc7c
微生物学::05 ウイルス	诺如病毒	ノロウイルス		ウイルス,中日対応,消化器	k9992066f
微生物学::05 ウイルス	ノロウイルスが起こす主な疾患は？	ウイルス性胃腸炎		ウイルス,疾患,消化器	k1c438430
微生物学::05 ウイルス	轮状病毒	ロタウイルス		ウイルス,中日対応,消化器,小児	kfe43c0de
微生物学::05 ウイルス	ロタウイルスが起こす主な疾患は？	乳幼児下痢症		ウイルス,疾患,消化器,小児	k661a6031
微生物学::05 ウイルス	日本脑炎病毒	日本脳炎ウイルス		ウイルス,中日対応,神経,ワクチン	kd31bd44f
微生物学::05 ウイルス	日本脳炎ウイルスが起こす主な疾患は？	脳炎		ウイルス,疾患,神経,ワクチン	kea28b593
微生物学::05 ウイルス	狂犬病毒	狂犬病ウイルス		ウイルス,中日対応,神経	k42ece217
微生物学::05 ウイルス	狂犬病ウイルスが起こす主な疾患は？	狂犬病		ウイルス,疾患,神経	ke18f4fc1
微生物学::05 ウイルス	Rabies virus の日本語名は？	狂犬病ウイルス		ウイルス,英名,神経	kd9b574f6
