微生物学::03 グラム陰性菌	グラム陰性の球菌に含まれる菌属は？	ナイセリア属・モラクセラ属	グラム陰性双球菌	微生物,陰性菌,分類	n3uklf
微生物学::03 グラム陰性菌	ナイセリア属（Neisseria）の代表菌は？	髄膜炎菌・淋菌	グラム陰性双球菌	微生物,陰性菌,球菌,頻出	1l17o4v
微生物学::03 グラム陰性菌	モラクセラ属の代表菌は？	カタラーリス菌（Moraxella catarrhalis）	気道感染	微生物,陰性菌,球菌	1iejcvu
微生物学::03 グラム陰性菌	腸内細菌科に含まれる菌属を挙げよ	エシェリキア属・クレブシエラ属・サルモネラ属・シゲラ属・プロテウス属・エルシニア属	通性嫌気性のグラム陰性桿菌	微生物,陰性菌,分類,頻出	1nqnbtp
微生物学::03 グラム陰性菌	エシェリキア属の代表菌は？	大腸菌（Escherichia coli）	腸管出血性大腸菌 O157 など	微生物,陰性菌,腸内細菌	18oc9qr
微生物学::03 グラム陰性菌	クレブシエラ属の代表菌は？	肺炎桿菌（Klebsiella pneumoniae）	莢膜をもつ	微生物,陰性菌,腸内細菌	1pcdkur
微生物学::03 グラム陰性菌	サルモネラ属の代表菌は？	腸チフス菌・エンテリティディス菌	食中毒・腸チフス	微生物,陰性菌,腸内細菌	z7vw7k
微生物学::03 グラム陰性菌	シゲラ属の代表菌は？	赤痢菌（Shigella）	志賀毒素	微生物,陰性菌,腸内細菌	12khgxk
微生物学::03 グラム陰性菌	プロテウス属の代表菌は？	ミラビリス菌（Proteus mirabilis）	ウレアーゼ産生、尿路結石	微生物,陰性菌,腸内細菌	ex6but
微生物学::03 グラム陰性菌	エルシニア属の代表菌は？	ペスト菌・エンテロコリチカ菌	ペストは人獣共通感染症	微生物,陰性菌,腸内細菌	yvg5w5
微生物学::03 グラム陰性菌	非発酵桿菌に含まれる菌属を 3 つ挙げよ	シュードモナス属・アシネトバクター属・ステノトロフォモナス属	ブドウ糖を発酵しない。日和見感染・多剤耐性	微生物,陰性菌,分類,頻出	974aeg
微生物学::03 グラム陰性菌	シュードモナス属の代表菌は？	緑膿菌（Pseudomonas aeruginosa）	日和見感染、多剤耐性	微生物,陰性菌,非発酵	191sut6
微生物学::03 グラム陰性菌	アシネトバクター属の代表菌は？	バウマニ菌（Acinetobacter baumannii）	院内感染、多剤耐性	微生物,陰性菌,非発酵	1gpfe3i
微生物学::03 グラム陰性菌	ステノトロフォモナス属の代表菌は？	マルトフィリア菌（Stenotrophomonas maltophilia）	ST 合剤が第一選択	微生物,陰性菌,非発酵	ygv91t
微生物学::03 グラム陰性菌	小型桿菌・球桿菌に分類されるグラム陰性菌の菌属を挙げよ	ヘモフィルス属・ボルデテラ属・ブルセラ属・パスツレラ属・レジオネラ属	発育に特殊な条件が必要なものが多い	微生物,陰性菌,分類	xoe0sx
微生物学::03 グラム陰性菌	ヘモフィルス属の代表菌は？	インフルエンザ菌（Haemophilus influenzae）	発育に X 因子・V 因子が必要	微生物,陰性菌,小型桿菌,頻出	109ltqg
微生物学::03 グラム陰性菌	ボルデテラ属の代表菌は？	百日咳菌（Bordetella pertussis）	—	微生物,陰性菌,小型桿菌	x86w05
微生物学::03 グラム陰性菌	ブルセラ属の代表菌は？	ブルセラ菌（Brucella）	波状熱、人獣共通感染症	微生物,陰性菌,小型桿菌	b00lob
微生物学::03 グラム陰性菌	パスツレラ属の代表菌は？	多殺菌（Pasteurella multocida）	イヌ・ネコ咬傷	微生物,陰性菌,小型桿菌	h7mngb
微生物学::03 グラム陰性菌	レジオネラ属の代表菌は？	ニューモフィラ菌（Legionella pneumophila）	冷却塔・給湯設備、細胞内寄生	微生物,陰性菌,小型桿菌,頻出	ahk8y4
微生物学::03 グラム陰性菌	湾曲・らせん状桿菌に含まれる菌属を 3 つ挙げよ	ビブリオ属・カンピロバクター属・ヘリコバクター属	形態で覚える	微生物,陰性菌,分類,頻出	vcttet
微生物学::03 グラム陰性菌	ビブリオ属の代表菌は？	コレラ菌・腸炎ビブリオ	コンマ状	微生物,陰性菌,らせん状	iun0jp
微生物学::03 グラム陰性菌	カンピロバクター属の代表菌は？	ジェジュニ菌（Campylobacter jejuni）	鶏肉、Guillain-Barré 症候群の先行感染	微生物,陰性菌,らせん状,頻出	1j4xmer
微生物学::03 グラム陰性菌	ヘリコバクター属の代表菌は？	ピロリ菌（Helicobacter pylori）	ウレアーゼ産生、胃潰瘍・胃癌	微生物,陰性菌,らせん状,頻出	sgq23n
微生物学::03 グラム陰性菌	嫌気性のグラム陰性桿菌の菌属を 3 つ挙げよ	バクテロイデス属・プレボテラ属・フソバクテリウム属	腸管・口腔の常在菌	微生物,陰性菌,分類	pcijpy
微生物学::03 グラム陰性菌	バクテロイデス属の代表菌は？	フラジリス菌（Bacteroides fragilis）	腹腔内感染	微生物,陰性菌,嫌気性	azn1z0
微生物学::03 グラム陰性菌	プレボテラ属とフソバクテリウム属の代表菌は？	プレボテラ菌／ネクロフォルム菌（Fusobacterium necrophorum）	口腔内嫌気性菌	微生物,陰性菌,嫌気性	14le3b9
微生物学::03 グラム陰性菌	グラム陰性菌の分類を大きく 6 つに分けよ	球菌／腸内細菌／非発酵桿菌／小型桿菌・球桿菌／湾曲・らせん状桿菌／嫌気性桿菌	この枠組みで菌属を覚える	微生物,陰性菌,まとめ,頻出	65al0i
微生物学::03 グラム陰性菌	ウレアーゼを産生する代表的なグラム陰性菌は？	ヘリコバクター・ピロリ、プロテウス・ミラビリス	尿素を分解しアンモニアを産生	微生物,陰性菌,まとめ,頻出	jbftww
